soilType,pHLevel,nutrientLevels
Loam,6.5,"{nitrogen: 10, phosphorus: 15, potassium: 20}"
Clay,5.8,"{nitrogen: 8, phosphorus: 14, potassium: 18}"
Clay,5.8,"{nitrogen: 8, phosphorus: 14, potassium: 18}"
Silt,6.2,"{nitrogen: 9, phosphorus: 13, potassium: 19}"
Silt,6.2,"{nitrogen: 9, phosphorus: 13, potassium: 19}"
Sandy,7.0,"{nitrogen: 11, phosphorus: 16, potassium: 21}"
Loam,6.4,"{nitrogen: 10, phosphorus: 15, potassium: 20}"
Clay,5.9,"{nitrogen: 8, phosphorus: 14, potassium: 18}"
Silt,6.3,"{nitrogen: 9, phosphorus: 13, potassium: 19}"
Sandy,7.1,"{nitrogen: 11, phosphorus: 16, potassium: 21}"
Loam,6.5,"{nitrogen: 10, phosphorus: 15, potassium: 20}"
Clay,5.8,"{nitrogen: 8, phosphorus: 14, potassium: 18}"
Silt,6.2,"{nitrogen: 9, phosphorus: 13, potassium: 19}"
Sandy,7.0,"{nitrogen: 11, phosphorus: 16, potassium: 21}"
Loam,6.4,"{nitrogen: 10, phosphorus: 15, potassium: 20}"
Clay,5.9,"{nitrogen: 8, phosphorus: 14, potassium: 18}"
Silt,6.3,"{nitrogen: 9, phosphorus: 13, potassium: 19}"
Sandy,7.1,"{nitrogen: 11, phosphorus: 16, potassium: 21}"
Loam,6.5,"{nitrogen: 10, phosphorus: 15, potassium: 20}"
Clay,5.8,"{nitrogen: 8, phosphorus: 14, potassium: 18}"
Silt,6.2,"{nitrogen: 9, phosphorus: 13, potassium: 19}"
Sandy,7.0,"{nitrogen: 11, phosphorus: 16, potassium: 21}"
